"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$12,667,254,371","6.04%","USA","Analyze"
"GLPI","Gaming and Leisure Properties, Inc","REITs","Large cap","Real Estate","$12,630,898,718","5.48%","USA","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$12,480,577,513","1.18%","USA","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$12,457,852,742","1.81%","USA","Analyze"
"BILL","Bill.com Holdings, Inc.","Common stocks","Large cap","Information Technology","$12,436,495,194","0.00%","USA","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$12,430,198,491","2.00%","USA","Analyze"
"ERIE","Erie Indemnity Class A","Common stocks","Large cap","Financials","$12,257,654,866","1.66%","USA","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$12,093,062,533","3.18%","USA","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$12,085,207,160","0.00%","USA","Analyze"
"WTRG","Essential Utilities, Inc.","Common stocks","Large cap","Utilities","$12,081,116,873","2.37%","USA","Analyze"
"PARAA","Paramount Global - Class A","Common stocks","Large cap","Communication Services","$12,075,450,132","4.44%","USA","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$12,075,450,132","5.17%","USA","Analyze"
"UTHR","United Therapeutics Corp","Common stocks","Large cap","Health Care","$12,066,498,572","0.00%","USA","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$11,981,364,470","3.43%","USA","Analyze"
"AFG","American Financial Group Inc","Common stocks","Large cap","Financials","$11,938,821,991","1.56%","USA","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Large cap","Consumer Staples","$11,912,100,315","1.18%","USA","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$11,909,313,773","3.89%","USA","Analyze"
"ELS","Equity LifeStyle Properties, Inc","REITs","Large cap","Real Estate","$11,821,771,038","2.49%","USA","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$11,750,154,338","0.00%","USA","Analyze"
"GGG","Graco Inc","Common stocks","Large cap","Industrials","$11,734,675,314","1.20%","USA","Analyze"
"TRU","TransUnion","Common stocks","Large cap","Industrials","$11,700,744,000","0.81%","USA","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$11,603,765,276","0.00%","USA","Analyze"
"TTC","Toro","Common stocks","Large cap","Industrials","$11,574,829,140","1.08%","USA","Analyze"
"PCTY","Paylocity Holding Corp","Common stocks","Large cap","Information Technology","$11,530,062,412","0.00%","USA","Analyze"
"GDDY","GoDaddy Inc. Class A","Common stocks","Large cap","Information Technology","$11,339,961,369","0.00%","USA","Analyze"
"DAR","Darling Ingredients Inc","Common stocks","Large cap","Consumer Staples","$11,331,189,253","0.00%","USA","Analyze"
"WOLF","Wolfspeed, Inc.","Common stocks","Large cap","Information Technology","$11,269,870,531","0.00%","USA","Analyze"
"CNA","CNA Financial Corp","Common stocks","Large cap","Financials","$11,266,455,591","3.79%","USA","Analyze"
"MDB","MongoDB, Inc. Class A","Common stocks","Large cap","Information Technology","$11,253,533,288","0.00%","USA","Analyze"
"EQH","AXA Equitable Holdings Inc","Common stocks","Large cap","Financials","$11,241,887,170","2.48%","USA","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$11,209,472,638","2.29%","USA","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$11,188,003,434","3.76%","USA","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$11,070,017,761","5.46%","USA","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$11,066,714,066","2.26%","USA","Analyze"
"NBIX","Neurocrine Biosciences Inc","Common stocks","Large cap","Health Care","$11,061,222,683","0.00%","USA","Analyze"
"ACI","Albertsons Companies, Inc. Class A","Common stocks","Large cap","Consumer Staples","$11,027,716,690","1.88%","USA","Analyze"
"AMH","American Homes 4 Rent Class A","REITs","Large cap","Real Estate","$11,025,295,625","2.03%","USA","Analyze"
"DOX","Amdocs Ltd","Common stocks","Large cap","Information Technology","$10,990,966,557","1.83%","Guernsey","Analyze"
"ACM","AECOM","Common stocks","Large cap","Industrials","$10,986,242,292","0.76%","USA","Analyze"
"GL","Globe Life Inc.","Common stocks","Large cap","Financials","$10,979,863,450","0.72%","USA","Analyze"
"QGEN","Qiagen Nv","Common stocks","Large cap","Health Care","$10,872,279,707","0.00%","The Netherlands","Analyze"
"DELL","Dell Technologies Inc. Class C","Common stocks","Large cap","Information Technology","$10,821,236,770","2.35%","USA","Analyze"
"SCI","Service Corporation International","Common stocks","Large cap","Consumer Discretionary","$10,794,070,832","1.39%","USA","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$10,769,076,012","2.73%","USA","Analyze"
"BSY","Bentley Systems, Inc Class B","Common stocks","Large cap","Information Technology","$10,747,792,821","0.31%","USA","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Large cap","Health Care","$10,735,367,940","0.00%","USA","Analyze"
"FNF","Fidelity National Financial Inc","Common stocks","Large cap","Financials","$10,730,166,613","4.39%","USA","Analyze"
"FCNCA","First Citizens Bancshares Inc Class A","Common stocks","Large cap","Financials","$10,680,580,833","0.18%","USA","Analyze"
"WSO","Watsco Inc","Common stocks","Large cap","Industrials","$10,679,407,914","3.08%","USA","Analyze"
"ENTG","Entegris Inc","Common stocks","Large cap","Information Technology","$10,676,837,598","0.56%","USA","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Large cap","Consumer Discretionary","$10,676,809,385","0.00%","USA","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$10,623,381,460","0.00%","USA","Analyze"
"AR","Antero Resources Corp","Common stocks","Large cap","Energy","$10,594,816,544","0.00%","USA","Analyze"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$10,581,841,716","0.00%","USA","Analyze"
